gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000041357.15,PSMA4,10.531108856201174,NA,6.209861150372091e-26,0.0026866609195575685,NA,NA,NA,1,1,1,6.209861150372137e-26,0.0871749430826051
ENSG00000136381.12,IREB2,-10.201903343200682,NA,1.9442437844398257e-24,0.0018748363035042198,NA,NA,NA,1,1,1,1.94424378443977e-24,0.0736506488088804
ENSG00000204444.10,APOM,-8.519945691442958,NA,1.5962815635487755e-17,0.007605859092819511,NA,NA,NA,2,2,2,1.6676813120884298e-17,0.21588983251532998
ENSG00000213719.8,CLIC1,-8.27223014831543,NA,1.3147619432294954e-16,0.0016351927118378293,NA,NA,NA,1,1,1,1.3147619432294954e-16,0.0998104029198326
ENSG00000244731.7,C4A,-7.818108828698144,NA,5.362282333186293e-15,0.16393591495109058,NA,NA,NA,3,3,3,1.4066701756108665e-16,0.9097949110072321
ENSG00000204438.10,GPANK1,-7.047877472532087,NA,1.816674937088716e-12,0.007886903876166931,NA,NA,NA,3,3,3,1.0395514654641888e-17,0.205496236531225
ENSG00000204613.10,TRIM10,-6.853122538724011,NA,7.225514013141903e-12,0.00014915212436398287,NA,NA,NA,2,2,2,4.454674200953978e-12,0.0310751302800334
ENSG00000255974.7,CYP2A6,6.516779899597168,NA,7.183270683689088e-11,0.013656780994538795,NA,NA,NA,1,2,2,7.183270683689088e-11,0.165075041800424
ENSG00000204618.8,RNF39,-6.252334690757597,NA,4.043616624164884e-10,0.062377206975807696,NA,NA,NA,2,2,2,9.955130006859598e-09,0.21559390395279002
ENSG00000137312.14,FLOT1,6.084930683562974,NA,1.1654171947797997e-09,0.031257046001778845,NA,NA,NA,3,3,3,1.8687775987886237e-13,0.293238593051229
ENSG00000146112.11,PPP1R18,-6.05720505079368,NA,1.3850698637813603e-09,0.005580339765452285,NA,NA,NA,2,2,2,1.4132615084200866e-11,0.155064476359193
ENSG00000184357.4,HIST1H1B,-5.950963497161865,NA,2.6656853868922093e-09,3.1987545453256744e-06,NA,NA,NA,1,1,1,2.6656853868922093e-09,0.00471071704533995
ENSG00000187626.8,ZKSCAN4,5.876493930816651,NA,4.190467630789106e-09,0.002217642270094346,NA,NA,NA,1,1,1,4.190467630789106e-09,0.101458807136982
ENSG00000180596.7,HIST1H2BC,5.744478702545165,NA,9.220459930107096e-09,1.104961106038005e-05,NA,NA,NA,1,1,1,9.220459930107032e-09,0.007645052096355709
ENSG00000168631.12,DPCR1,-5.732318613759785,NA,9.906695382570968e-09,0.0007297784558780155,NA,NA,NA,2,2,2,7.1723664418805165e-09,0.0488877318011414
ENSG00000002016.17,RAD52,5.711992895139053,NA,1.1166075122645417e-08,0.05388065164797805,NA,NA,NA,3,3,3,3.1105449568909386e-06,0.364921034790288
ENSG00000204308.7,RNF5,-5.680352803125631,NA,1.344171888197453e-08,0.026495322773474477,NA,NA,NA,3,3,3,8.10224204983445e-09,0.24707379838540197
ENSG00000158406.4,HIST1H4H,5.647108741371822,NA,1.631686309946482e-08,0.0036688966753776675,NA,NA,NA,2,2,2,2.4269021155659315e-08,0.0921664134163554
ENSG00000229274.1,XXbac-BPG13B8.10,5.496135711669922,NA,3.882038018856788e-08,0.004149505144277039,NA,NA,NA,1,1,1,3.882038018856788e-08,0.10661003573445299
ENSG00000214894.6,LINC00243,5.393650980238962,NA,6.90402621449812e-08,0.088280118886638,NA,NA,NA,4,4,4,9.05720883829483e-16,0.45159512683874703
ENSG00000228789.6,HCG22,-5.323228918770732,NA,1.0194132434644124e-07,1.3179613437032103,NA,NA,NA,4,4,4,2.0273088148128746e-07,0.6835320693901099
ENSG00000204616.10,TRIM31,-5.298473591000531,NA,1.1677476237211621e-07,0.10558699857062949,NA,NA,NA,3,3,3,5.653887876250329e-09,0.271056732759045
ENSG00000197062.11,ZSCAN26,-5.173087093711491,NA,2.3025761862755063e-07,0.03372837989423799,NA,NA,NA,3,3,3,5.784496694784215e-09,0.193474341233543
ENSG00000237541.3,HLA-DQA2,5.15834903717041,NA,2.4913686252168475e-07,0.12465856365354891,NA,NA,NA,1,3,3,2.4913686252168475e-07,0.5031460810856161
ENSG00000204644.9,ZFP57,4.987980345459385,NA,6.101377421176995e-07,2.3016398801340148,NA,NA,NA,2,2,2,1.1968966923581486e-06,1.29479017955617
ENSG00000272462.2,U91328.19,4.929233732123764,NA,8.255276310560743e-07,0.5398844383586073,NA,NA,NA,2,2,2,7.475366924642309e-06,0.775514910851652
ENSG00000271755.1,RP1-153G14.4,-4.912755489349365,NA,8.980524449573719e-07,0.006338057478909429,NA,NA,NA,1,2,2,8.980524449573719e-07,0.11909149130347998
ENSG00000197903.7,HIST1H2BK,4.89215220935772,NA,9.973926115784292e-07,0.006080371283769271,NA,NA,NA,2,2,2,3.908204765982207e-08,0.16987312488647402
ENSG00000204632.11,HLA-G,-4.76810767494701,NA,1.8596439088141367e-06,0.116129970639329,NA,NA,NA,4,4,4,8.263492185067402e-11,0.5500270162487161
ENSG00000281831.1,HCP5B,4.719034566383334,NA,2.3696655635542823e-06,0.749030730896621,NA,NA,NA,4,5,5,3.0789525421871804e-10,1.03994426886165
ENSG00000196260.4,SFTA2,4.645377629332753,NA,3.394549413459973e-06,0.008476551203125085,NA,NA,NA,2,2,2,4.388521669624562e-08,0.14253598000043302
ENSG00000179344.16,HLA-DQB1,-4.552499076145749,NA,5.301239381802907e-06,1.8542830827118633,NA,NA,NA,5,5,5,2.6914233677418216e-06,0.8784283110781971
ENSG00000204351.11,SKIV2L,-4.506753597182296,NA,6.582700032743426e-06,0.14836794939283893,NA,NA,NA,3,3,3,3.351211776237606e-05,0.7640677316462159
ENSG00000204574.12,ABCF1,4.409675564155455,NA,1.0352560010579765e-05,0.013984431240182383,NA,NA,NA,2,2,2,2.7627553934544043e-06,0.16613550699069599
ENSG00000167081.16,PBX3,-4.402723349367334,NA,1.0690044565762341e-05,0.02310247090206922,NA,NA,NA,2,2,2,1.3585397672616216e-05,0.208412871883028
ENSG00000126091.19,ST3GAL3,-4.344006802082727,NA,1.3990718012202293e-05,0.006298233255125754,NA,NA,NA,2,2,2,3.927033384737992e-06,0.0742194966511409
ENSG00000204536.13,CCHCR1,4.320364096645587,NA,1.5577196783794392e-05,0.15768125768393293,NA,NA,NA,3,4,4,5.2296450881116796e-06,0.476183164375536
ENSG00000159873.9,CCDC117,-4.300663948059082,NA,1.702871318373508e-05,0.0011735918067802642,NA,NA,NA,1,1,1,1.702871318373508e-05,0.18199596986394503
ENSG00000196072.11,BLOC1S2,-4.272217412797485,NA,1.9353873831690623e-05,0.03383921734855088,NA,NA,NA,2,2,2,1.10538072726561e-06,0.44860884764950393
ENSG00000204301.6,NOTCH4,-4.178078280809141,NA,2.939824808761902e-05,0.12449639091084291,NA,NA,NA,4,4,4,5.133456648227622e-07,0.336614090767479
ENSG00000214842.5,RAD51AP2,-4.130284786224366,NA,3.623141324724966e-05,0.012412298689802417,NA,NA,NA,1,1,1,3.623141324724973e-05,0.171447145158232
ENSG00000162613.16,FUBP1,-4.124502182006836,NA,3.715374704840286e-05,0.009845561693267524,NA,NA,NA,1,1,1,3.715374704840286e-05,0.23221721788272304
ENSG00000132716.18,DCAF8,4.090195178985596,NA,4.310103290267522e-05,0.0014061330419830973,NA,NA,NA,1,1,1,4.310103290267522e-05,0.0525144547659579
ENSG00000204592.8,HLA-E,4.088081474675535,NA,4.349554034658054e-05,0.009201089279819687,NA,NA,NA,2,3,3,5.373708873872197e-05,0.0974778915205352
ENSG00000170043.11,TRAPPC1,4.014744758605957,NA,5.9510160027275866e-05,7.410926504527316e-06,NA,NA,NA,1,1,1,5.9510160027275866e-05,0.0124226032569102
ENSG00000166963.12,MAP1A,-3.9902739028654333,NA,6.599703582993101e-05,0.005163673570471434,NA,NA,NA,2,2,2,9.352354011905425e-05,0.0906760341692949
ENSG00000179859.9,AC025335.1,3.973486423492431,NA,7.082819712600909e-05,0.008942210817247106,NA,NA,NA,1,1,1,7.082819712600896e-05,0.431517898731535
ENSG00000119487.16,MAPKAP1,3.94488286972046,NA,7.983899451077854e-05,0.002625214705292434,NA,NA,NA,1,1,1,7.983899451077902e-05,0.0761632856638492
ENSG00000204472.12,AIF1,3.939787646073551,NA,8.155376556377906e-05,0.0070739542577534596,NA,NA,NA,2,2,2,6.966709299499102e-05,0.19500906583166602
ENSG00000213722.8,DDAH2,-3.9263300895690914,NA,8.625177008237154e-05,0.006268162515932289,NA,NA,NA,1,1,1,8.625177008237128e-05,0.11651925007980199
ENSG00000169684.13,CHRNA5,-3.9125173091888428,NA,9.133898903128784e-05,0.0905088894285004,NA,NA,NA,1,1,1,9.133898903128784e-05,0.44159641654587
ENSG00000196735.11,HLA-DQA1,-3.906122207641601,NA,9.378909209896888e-05,0.16758921340606486,NA,NA,NA,1,2,2,9.378909209896862e-05,0.614901962099909
ENSG00000162735.18,PEX19,3.879793283910063,NA,0.00010454527587155121,0.00016386247984895617,NA,NA,NA,2,2,2,3.89592912342912e-05,0.0340503814945405
ENSG00000204516.9,MICB,3.873140784312597,NA,0.00010744172086843984,0.5047623740450102,NA,NA,NA,4,5,5,1.2375659514801149e-06,0.793179406477117
ENSG00000107566.13,ERLIN1,-3.842171430587769,NA,0.00012195060821234568,0.0009929590885273192,NA,NA,NA,1,1,1,0.000121950608212346,0.0845193475641013
ENSG00000108384.14,RAD51C,3.841726064682007,NA,0.00012217214200813464,0.02815019478921085,NA,NA,NA,1,1,1,0.00012217214200813464,0.29652594173067603
ENSG00000163590.13,PPM1L,3.814976050964031,NA,0.0001361961415769074,0.001006864831997647,NA,NA,NA,2,2,2,6.937272292933532e-05,0.0487487447463159
ENSG00000232629.8,HLA-DQB2,3.8113090727790686,NA,0.0001382328018678221,0.38981234077775284,NA,NA,NA,3,3,3,8.66595161338008e-05,0.927898513282841
ENSG00000204657.3,OR2H2,3.799728393554688,NA,0.0001448547590503015,0.01112552961729727,NA,NA,NA,1,1,1,0.0001448547590503015,0.15266854318248002
ENSG00000132109.9,TRIM21,3.799719237480553,NA,0.00014486011083925137,0.00891694570351858,NA,NA,NA,2,2,2,0.00023391081305729192,0.0919287057654989
ENSG00000082068.8,WDR70,3.772548437118531,NA,0.00016158858364748359,0.0006802448613107188,NA,NA,NA,1,1,1,0.00016158858364748402,0.0517902455107749
ENSG00000031698.12,SARS,3.7644549246098316,NA,0.00016691277219548598,6.357914953295287e-05,NA,NA,NA,2,2,2,0.00019268294791289738,0.0184348967323889
ENSG00000133056.13,PIK3C2B,3.762259973880088,NA,0.00016838488186749173,0.0028811704597942554,NA,NA,NA,2,2,2,0.001181672939724276,0.0689596872497529
ENSG00000223572.9,CKMT1A,3.7576842308044434,NA,0.00017149309929836043,0.006991805478399195,NA,NA,NA,1,2,2,0.00017149309929836043,0.188452195036887
ENSG00000170627.10,GTSF1,3.7564491299463896,NA,0.00017234128334786707,0.1220238748952383,NA,NA,NA,3,3,3,0.00015019132545189423,0.850544164753344
ENSG00000067369.13,TP53BP1,3.719286680221558,NA,0.00019978619534493232,0.004076371176418547,NA,NA,NA,1,1,1,0.00019978619534493283,0.139131715742079
ENSG00000021762.19,OSBPL5,3.718787287074332,NA,0.00020018153278249877,0.06709859962708536,NA,NA,NA,4,4,4,0.0006082949462241214,0.44992028497372394
ENSG00000122912.14,SLC25A16,3.702288655454566,NA,0.0002136633264949195,0.020261490312059923,NA,NA,NA,3,3,3,0.0015352350503754083,0.264616638964309
ENSG00000138686.9,BBS7,3.700170278549195,NA,0.0002154548505802401,0.0014441285011102033,NA,NA,NA,1,1,1,0.00021545485058024064,0.0546639318504222
ENSG00000198077.10,CYP2A7,3.694215637292884,NA,0.00022056656943449468,0.1955174059432167,NA,NA,NA,3,3,3,0.00019216398554280405,0.49390276824744
ENSG00000089639.10,GMIP,-3.6875605927727304,NA,0.00022641418991333135,0.006288675072565973,NA,NA,NA,2,2,2,0.0003940066711385944,0.124602205178638
ENSG00000107719.8,PALD1,-3.6835601329803462,NA,0.00022999899472078515,0.005287276913985905,NA,NA,NA,1,1,1,0.00022999899472078472,0.10352380549202198
ENSG00000221947.7,XKR9,-3.6812211290023877,NA,0.0002321195788813487,0.5601068591523928,NA,NA,NA,2,2,2,0.0005858405037317097,0.944146528655396
ENSG00000103356.15,EARS2,-3.6666358844337648,NA,0.00024576234920509123,0.01303079746198353,NA,NA,NA,2,2,2,0.00027284298698825,0.22751780222755802
ENSG00000205302.6,SNX2,-3.663986289803181,NA,0.0002483200827686866,0.00012486755802851077,NA,NA,NA,2,2,2,0.005572224667203151,0.0198310242660369
ENSG00000102935.11,ZNF423,3.6599915027618404,NA,0.00025222361214217217,0.0001795946493923625,NA,NA,NA,1,1,1,0.00025222361214217163,0.0226050344310337
ENSG00000175518.6,UBQLNL,-3.6154427643487854,NA,0.00029983471757727035,0.03516116069940749,NA,NA,NA,2,2,2,0.008499085435698073,0.214178661134668
ENSG00000138336.8,TET1,-3.6076718942065162,NA,0.0003089568464195526,1.4340315350124226e-05,NA,NA,NA,2,2,2,0.00117108430022776,0.006524016530692221
ENSG00000092470.11,WDR76,-3.591869157654848,NA,0.0003283146874051452,0.0006639799523221661,NA,NA,NA,2,2,2,0.00031329310239768703,0.0579778467118588
ENSG00000204257.14,HLA-DMA,3.589172642242682,NA,0.000331729107659255,0.005342553158711762,NA,NA,NA,3,3,3,3.427769890105046e-06,0.1214218911617
ENSG00000112812.15,PRSS16,3.5760624408721924,NA,0.000348808371989373,0.003196068878053446,NA,NA,NA,1,1,1,0.000348808371989373,0.101557196411612
ENSG00000148153.13,INIP,-3.557191848754883,NA,0.0003748404088666705,0.002523479207492356,NA,NA,NA,1,1,1,0.0003748404088666705,0.117563913355137
ENSG00000103365.15,GGA2,-3.556802364052631,NA,0.0003753963566537422,0.0025561070828429675,NA,NA,NA,2,2,2,0.0002812004100408651,0.0921545522108848
ENSG00000064547.13,LPAR2,-3.544065952301025,NA,0.0003940066711385954,0.035618744930076204,NA,NA,NA,1,1,1,0.0003940066711385944,0.292670883636854
ENSG00000092098.16,RNF31,-3.5371697650240774,NA,0.0004044396106866235,0.0035469413233992523,NA,NA,NA,2,3,3,0.002492401373819624,0.112058614756309
ENSG00000272221.1,XXbac-BPG181B23.7,3.5245467448824086,NA,0.000424207961005147,3.2744338099783397,NA,NA,NA,5,5,5,1.7386379017136233e-06,1.10049085550888
ENSG00000196812.4,ZSCAN16,-3.4927115440368652,NA,0.0004781427045996693,0.0012232381341591078,NA,NA,NA,1,1,1,0.0004781427045996693,0.0571391575864788
ENSG00000140265.12,ZSCAN29,3.453514143716081,NA,0.0005533332866330308,0.0319214831351231,NA,NA,NA,2,3,3,0.0015656379125691304,0.20380714128994398
ENSG00000115221.10,ITGB6,-3.422621726989746,NA,0.0006202032110310023,1.8391869604819093e-05,NA,NA,NA,1,1,1,0.0006202032110310023,0.00904858606769175
ENSG00000112378.11,PERP,3.4149892330169673,NA,0.0006378453283087496,0.00152208292546042,NA,NA,NA,1,1,1,0.0006378453283087496,0.0804498048571823
ENSG00000213246.6,SUPT4H1,-3.40536093711853,NA,0.0006607665726364724,0.008114159223849312,NA,NA,NA,1,1,1,0.0006607665726364724,0.173512674972607
ENSG00000170085.17,SIMC1,-3.396125078201294,NA,0.0006834711963216629,0.004982375961563296,NA,NA,NA,1,1,1,0.0006834711963216629,0.110054025135768
ENSG00000067167.7,TRAM1,-3.3857645988464355,NA,0.0007098024328883561,0.002365908985797443,NA,NA,NA,1,1,1,0.0007098024328883561,0.0673811002166562
ENSG00000146192.14,FGD2,-3.3854915624867643,NA,0.0007105089378185686,0.005155138127607417,NA,NA,NA,2,2,2,0.023170721881138723,0.14748866742615502
ENSG00000066379.14,ZNRD1,-3.380226248306557,NA,0.0007242618365756479,0.06571919931154448,NA,NA,NA,3,3,3,9.631330808708962e-05,0.482884199126834
ENSG00000159111.12,MRPL10,-3.340293169021606,NA,0.0008368999284211546,0.003921214963070368,NA,NA,NA,1,2,2,0.0008368999284211546,0.22335880272003503
ENSG00000175634.14,RPS6KB2,3.3387327908053894,NA,0.00084161479077752,0.02065768596790103,NA,NA,NA,2,2,2,0.001308307860442876,0.11547619767957101
ENSG00000006007.11,GDE1,-3.3113038539886475,NA,0.0009286231538661343,0.0004804242896101676,NA,NA,NA,1,1,1,0.0009286231538661343,0.0358318365450926
ENSG00000185499.16,MUC1,3.3077828753737326,NA,0.0009403768692424361,0.0028081473456904454,NA,NA,NA,2,2,2,0.0014786074118568356,0.10605068750545599
ENSG00000186470.13,BTN3A2,-3.3070256773809135,NA,0.0009429224838822981,0.3657391129072178,NA,NA,NA,3,4,4,0.0008345777472463566,1.19845042537653
ENSG00000204314.10,PRRT1,3.3038108348846436,NA,0.0009538016722810272,0.004225370783156593,NA,NA,NA,1,1,1,0.0009538016722810272,0.134510950010252
ENSG00000275228.1,RP11-370I10.10,3.2976961135864267,NA,0.0009748157332633243,0.004345671392953615,NA,NA,NA,1,1,1,0.0009748157332633262,0.10103064292901599
ENSG00000113119.12,TMCO6,-3.2868019342827908,NA,0.0010133207832119591,0.024202645284584504,NA,NA,NA,2,2,2,0.0010116641947883049,0.254278365729911
ENSG00000130227.16,XPO7,3.2776336870114093,NA,0.0010468114704363903,0.002046480625387657,NA,NA,NA,2,2,2,0.0009515451955281879,0.0652731963703921
ENSG00000197980.12,LEKR1,-3.2721243973735583,NA,0.0010674259876576808,0.0450043995131109,NA,NA,NA,2,2,2,0.001033239863816641,0.33812374050305205
ENSG00000099330.8,OCEL1,3.2675018405571654,NA,0.0010850116092670707,0.13859800711742443,NA,NA,NA,3,3,3,0.00014457129400253976,0.40373759223735495
ENSG00000155755.18,TMEM237,-3.2665261127575094,NA,0.0010887576614078004,0.00019567510359906203,NA,NA,NA,2,2,2,0.002309319639422303,0.0234243915098152
ENSG00000105393.15,BABAM1,-3.2536273521877654,NA,0.001139416400110261,0.007293542736838465,NA,NA,NA,2,2,2,0.00012632843801159207,0.163020861388569
ENSG00000204356.13,NELFE,3.253604485792348,NA,0.0011395081094326721,0.00821338750306324,NA,NA,NA,2,2,2,0.0011252298323900301,0.22709319601335
ENSG00000004478.7,FKBP4,-3.2395031452178955,NA,0.0011973814591716518,7.757635283469667e-07,NA,NA,NA,1,1,1,0.0011973814591716518,0.00153234782687629
ENSG00000080345.17,RIF1,-3.2343195240358207,NA,0.0012193295668454884,0.051811845767387454,NA,NA,NA,2,2,2,0.00017763472052655037,0.217058249346953
ENSG00000197183.14,NOL4L,3.229233741760254,NA,0.0012412240098315067,0.014396715883182198,NA,NA,NA,1,1,1,0.0012412240098315067,0.166273275929568
ENSG00000026297.15,RNASET2,3.2223046015972683,NA,0.001271638681081506,0.1395190528863297,NA,NA,NA,2,2,2,0.0003949701527573382,0.339024680638531
ENSG00000164265.8,SCGB3A2,-3.2202248573303223,NA,0.001280900841473581,0.0005413655532302656,NA,NA,NA,1,2,2,0.001280900841473581,0.0482934723140284
ENSG00000167874.6,TMEM88,3.216939878896863,NA,0.001295657464357919,0.0014267849549462763,NA,NA,NA,2,2,2,0.0011161505524911084,0.144695953199773
ENSG00000188846.13,RPL14,3.2130630016326904,NA,0.0013132747867269404,0.0002790993179386753,NA,NA,NA,1,2,2,0.0013132747867269404,0.0611177013092479
ENSG00000140259.6,MFAP1,-3.2078998088836665,NA,0.0013370806992623885,0.00010377324370244495,NA,NA,NA,1,1,1,0.0013370806992623857,0.023601872406402997
ENSG00000107890.16,ANKRD26,3.2078375695261623,NA,0.001337370079267561,0.009397751589731884,NA,NA,NA,3,3,3,5.061842119363924e-06,0.236386212129507
ENSG00000100239.15,PPP6R2,3.1918879912265288,NA,0.001413461333755554,0.026078215914160492,NA,NA,NA,2,2,2,0.005834086495493931,0.175461785880972
ENSG00000157796.17,WDR19,3.1770036268418944,NA,0.001488051750589002,0.011671677181416821,NA,NA,NA,2,2,2,0.0020191896157389314,0.141994883893391
ENSG00000165732.12,DDX21,3.1660432815551753,NA,0.0015452779910332612,6.369190931359207e-05,NA,NA,NA,1,1,1,0.0015452779910332586,0.0189963303876732
ENSG00000171243.7,SOSTDC1,-3.153281450271606,NA,0.0016144606707963265,3.997313121409948e-05,NA,NA,NA,1,1,1,0.0016144606707963235,0.0218773325828017
ENSG00000173083.14,HPSE,-3.139875173568726,NA,0.0016901983706187425,0.006019208615908861,NA,NA,NA,1,1,1,0.0016901983706187455,0.134345731639548
ENSG00000106178.6,CCL24,3.1389487061485064,NA,0.0016955512476582754,0.09373951796927871,NA,NA,NA,2,2,2,0.000882708160388177,0.31021995683697196
ENSG00000187166.1,H1FNT,3.136773824691773,NA,0.001708178447055905,0.025299640383934785,NA,NA,NA,1,1,1,0.0017081784470559078,0.23534141333415098
ENSG00000090006.17,LTBP4,3.1321739138334017,NA,0.0017351705789661923,0.0011739166598832209,NA,NA,NA,2,2,2,0.007736160944997159,0.0597078274961758
ENSG00000272810.1,U91328.22,3.1282625042266283,NA,0.0017584305601722966,0.06612614136611861,NA,NA,NA,2,2,2,1.734091402133538e-05,0.334346582111214
ENSG00000149554.12,CHEK1,-3.1262964381121727,NA,0.0017702301119415689,0.0269650334417543,NA,NA,NA,3,3,3,4.060606013142506e-05,0.287853995393385
ENSG00000213578.5,CPLX3,3.126113414764404,NA,0.0017713322409447954,0.0035418660475199392,NA,NA,NA,1,1,1,0.0017713322409447917,0.284146477193574
ENSG00000171766.15,GATM,-3.124992419321163,NA,0.0017780964202946672,0.07069655975503175,NA,NA,NA,2,2,2,0.002043570338248439,0.225200134723046
ENSG00000241404.6,EGFL8,-3.123992660890732,NA,0.0017841490683775073,0.00013782379319429117,NA,NA,NA,2,2,2,0.003325564974139099,0.0244774110836566
ENSG00000101057.15,MYBL2,-3.1235663890838623,NA,0.0017867355193119038,0.008730373583847355,NA,NA,NA,1,1,1,0.0017867355193119038,0.14903531909555598
ENSG00000235109.7,ZSCAN31,3.1232087612152095,NA,0.0017889081238470729,0.06737818872892967,NA,NA,NA,1,1,1,0.0017889081238470692,0.395849618754582
ENSG00000141447.17,OSBPL1A,-3.1219234213684826,NA,0.0017967366807309067,0.002396716857163341,NA,NA,NA,2,2,2,0.01090082111389821,0.12555614849570698
ENSG00000231852.6,CYP21A2,3.119831323623657,NA,0.001809546282160317,0.040007515258663466,NA,NA,NA,1,5,5,0.0018095462821603133,0.40988541356466907
ENSG00000153885.14,KCTD15,-3.1106401122177263,NA,0.0018668230745531465,0.008818640917322786,NA,NA,NA,3,3,3,0.0005710207490903839,0.132007072719543
ENSG00000188493.14,C19orf54,-3.1098967827206505,NA,0.001871527310434917,0.008734032515347708,NA,NA,NA,2,2,2,0.0012319301840846041,0.129465838470826
